PA,AgeGroup,Time,TotalPop
Ang Mo Kio,0 to 9,2023,10960
Ang Mo Kio,10 to 19,2023,14030
Ang Mo Kio,20 to 29,2023,17850
Ang Mo Kio,30 to 39,2023,20510
Ang Mo Kio,40 to 49,2023,22640
Ang Mo Kio,50 to 59,2023,24140
Ang Mo Kio,60 to 69,2023,24590
Ang Mo Kio,70 to 79,2023,18310
Ang Mo Kio,80 to 89,2023,7480
Ang Mo Kio,90 and Over,2023,1400
Bedok,0 to 9,2023,21350
Bedok,10 to 19,2023,26030
Bedok,20 to 29,2023,32240
Bedok,30 to 39,2023,37520
Bedok,40 to 49,2023,39850
Bedok,50 to 59,2023,40870
Bedok,60 to 69,2023,41960
Bedok,70 to 79,2023,28000
Bedok,80 to 89,2023,10240
Bedok,90 and Over,2023,2170
Bishan,0 to 9,2023,6740
Bishan,10 to 19,2023,8740
Bishan,20 to 29,2023,10680
Bishan,30 to 39,2023,12400
Bishan,40 to 49,2023,11780
Bishan,50 to 59,2023,12590
Bishan,60 to 69,2023,13340
Bishan,70 to 79,2023,8180
Bishan,80 to 89,2023,3190
Bishan,90 and Over,2023,700
Boon Lay,0 to 9,2023,0
Boon Lay,10 to 19,2023,0
Boon Lay,20 to 29,2023,0
Boon Lay,30 to 39,2023,0
Boon Lay,40 to 49,2023,0
Boon Lay,50 to 59,2023,0
Boon Lay,60 to 69,2023,0
Boon Lay,70 to 79,2023,0
Boon Lay,80 to 89,2023,0
Boon Lay,90 and Over,2023,0
Bukit Batok,0 to 9,2023,17120
Bukit Batok,10 to 19,2023,16090
Bukit Batok,20 to 29,2023,20790
Bukit Batok,30 to 39,2023,27810
Bukit Batok,40 to 49,2023,23130
Bukit Batok,50 to 59,2023,24530
Bukit Batok,60 to 69,2023,23550
Bukit Batok,70 to 79,2023,11880
Bukit Batok,80 to 89,2023,3710
Bukit Batok,90 and Over,2023,750
Bukit Merah,0 to 9,2023,11410
Bukit Merah,10 to 19,2023,12760
Bukit Merah,20 to 29,2023,14640
Bukit Merah,30 to 39,2023,20750
Bukit Merah,40 to 49,2023,22680
Bukit Merah,50 to 59,2023,21680
Bukit Merah,60 to 69,2023,21220
Bukit Merah,70 to 79,2023,16510
Bukit Merah,80 to 89,2023,7560
Bukit Merah,90 and Over,2023,1630
Bukit Panjang,0 to 9,2023,12310
Bukit Panjang,10 to 19,2023,14620
Bukit Panjang,20 to 29,2023,18730
Bukit Panjang,30 to 39,2023,20940
Bukit Panjang,40 to 49,2023,19380
Bukit Panjang,50 to 59,2023,20650
Bukit Panjang,60 to 69,2023,19820
Bukit Panjang,70 to 79,2023,9460
Bukit Panjang,80 to 89,2023,3100
Bukit Panjang,90 and Over,2023,570
Bukit Timah,0 to 9,2023,8930
Bukit Timah,10 to 19,2023,10280
Bukit Timah,20 to 29,2023,8980
Bukit Timah,30 to 39,2023,10090
Bukit Timah,40 to 49,2023,12740
Bukit Timah,50 to 59,2023,12040
Bukit Timah,60 to 69,2023,9560
Bukit Timah,70 to 79,2023,6610
Bukit Timah,80 to 89,2023,2910
Bukit Timah,90 and Over,2023,690
Central Water Catchment,0 to 9,2023,0
Central Water Catchment,10 to 19,2023,0
Central Water Catchment,20 to 29,2023,0
Central Water Catchment,30 to 39,2023,0
Central Water Catchment,40 to 49,2023,0
Central Water Catchment,50 to 59,2023,0
Central Water Catchment,60 to 69,2023,0
Central Water Catchment,70 to 79,2023,0
Central Water Catchment,80 to 89,2023,0
Central Water Catchment,90 and Over,2023,0
